TrnsnID,Data,CusmrID,ProdtID,ProdtName,Qutity,Prize,TtlSales,PaymentType,CusterAge
719,07/07/2030,425,1026,nan,1,28.67,878.78,nan,90
8655,14-11-2031,911,1035,nan,17,36.39,3849.59,Cash,11
5808,03/13/2024,112,1054,Book F,3,73.22,1408.53,Credit Card,36
3470,14-12-2031,145,1095,nan,6,131.47,1231.44,Cash,42
9838,25-10-2024,93,1047,Book T,12,49.99,3678.91,debit card,92
484,20-03-2036,956,1094,Book K,5,94.86,1009.79,Credit,22
8087,01/02/2026,806,1081,Book A,10,32.15,3975.86,Debit,45
8684,14-07-2026,994,1001,Book A,10,79.57,1820.44,debit card,41
2040,01/31/2032,647,1072,Book J,12,62.71,323.96,Credit,2
4831,03/10/2029,376,1015,nan,5,16.3,1169.97,Credit,-10
4962,08/07/2024,625,1059,Book A,0,90.48,2879.28,Cash,73
9207,05/14/2026,638,1050,Book R,2,144.16,4410.23,Debit,74
32,02-05-2030,568,1087,Book J,3,81.73,3560.18,Debit,50
36,20-02-2032,533,1020,Book S,11,11.69,852.3,Credit,20
5975,10-06-2028,718,1081,Book F,12,173.56,4265.07,Credit,14
1189,02/04/2024,658,1023,Book S,10,21.72,750.28,nan,61
851,21-09-2030,522,1027,Book K,15,142.81,595.46,paypal,81
9692,10-07-2023,327,1032,Book S,17,47.07,1304.14,paypal,1
9314,03-12-2035,231,1052,Book R,10,106.77,2995.69,Cash,17
8564,24-01-2033,217,1018,Book P,1,188.85,1351.15,Cash,49
3059,03/07/2032,562,1042,Book G,15,146.16,511.27,Debit,-9
6313,06-09-2034,840,1094,Book M,1,153.99,4098.55,debit card,59
1218,06/21/2033,381,1011,Bookk H,17,195.26,1210.07,Credit,59
2928,12/07/2033,43,1074,Book J,11,172.68,1466.96,Debit,17
5121,26-04-2028,47,1043,Book I,10,149.69,3466.9,nan,89
7856,07/11/2033,760,1004,Book G,15,24.11,574.85,Cash,79
2710,02/05/2023,96,1089,Book B,16,189.85,2809.09,debit card,80
252,03-04-2023,912,1060,Book G,-5,144.63,3480.44,Debit,22
8577,07-11-2032,599,1005,Book S,-4,27.03,850.34,nan,31
1598,09/09/2028,136,1022,Book O,5,66.79,2818.35,nan,56
3937,05/17/2034,985,1011,Book F,13,53.23,3532.74,Cash,1
4906,07/06/2024,735,1056,Boo E,4,198.79,4332.32,Credit Card,63
2886,14-05-2031,545,1048,Book P,-2,89.59,3563.15,paypal,36
4939,12/26/2026,761,1011,Book F,16,184.92,4479.98,Debit,30
2168,08/20/2034,646,1034,Book K,12,96.71,2348.0,Cash,87
8676,01-09-2025,782,1028,Book L,0,93.97,3145.99,debit card,37
1531,31-12-2028,970,1064,Book T,19,151.37,4842.07,paypal,97
5304,23-07-2023,796,1045,Book M,8,168.47,2555.63,Debit,38
4623,12-08-2029,661,1099,Book R,-4,21.15,3692.16,debit card,67
81,02/06/2034,461,1068,nan,5,68.7,1757.78,nan,4
3317,04/01/2025,896,1014,Bookk H,6,42.56,2754.05,paypal,96
8565,02/15/2025,928,1024,Book A,14,77.79,3056.65,Credit,53
7031,02-12-2029,782,1003,Book S,13,189.66,246.37,Cash,65
5943,10-03-2034,965,1094,Bok N,-5,50.97,2263.57,debit card,16
3699,08-05-2026,858,1071,Book A,-5,161.27,3487.3,Credit Card,19
1733,09-12-2026,414,1077,Book B,1,135.84,934.15,Credit Card,84
451,22-07-2024,31,1042,Book F,19,161.01,969.48,Cash,59
714,06-02-2023,231,1053,Book T,16,99.08,1290.37,Credit,68
3446,12-11-2034,58,1023,Book G,18,32.59,1867.55,Cash,85
4210,04-03-2026,336,1088,Book I,8,182.82,1277.99,paypal,38
2305,12/19/2025,252,1015,Book G,17,100.39,3003.74,Debit,58
6061,28-01-2035,286,1095,Book K,-4,12.23,619.37,Credit Card,8
4197,09/09/2025,831,1032,Book L,16,168.35,2706.74,Credit,31
9832,08/21/2023,463,1010,Book F,8,58.99,1565.19,Credit Card,79
7108,12-03-2034,80,1062,nan,11,95.81,2517.81,nan,26
9362,08/15/2029,16,1052,Book B,-2,68.16,1608.17,Credit Card,14
5332,03/29/2032,646,1028,Book L,18,97.22,774.61,Cash,85
3785,23-03-2031,540,1032,Book O,0,184.96,1340.01,paypal,34
9454,21-03-2027,903,1041,Bookk H,-3,99.48,3400.39,Debit,93
3046,06/06/2033,468,1049,Book R,11,168.25,3952.84,Debit,12
6479,04/14/2028,339,1054,Book M,11,33.16,2392.08,Debit,64
3583,27-07-2025,777,1015,Book L,17,38.04,3923.89,paypal,40
9621,05/20/2028,283,1044,Book B,6,93.8,2754.08,paypal,64
6650,05-09-2027,348,1072,Book B,15,70.0,1626.16,debit card,56
4033,26-03-2023,742,1017,Book I,18,66.18,4933.42,Debit,-6
8294,21-05-2023,877,1024,Book R,1,59.33,4747.96,Credit,99
4103,24-01-2034,859,1020,Book A,1,72.6,1756.31,Credit Card,19
7021,09/22/2032,870,1097,Book D,-3,7.85,1136.95,nan,54
6028,06/02/2029,738,1040,Book F,1,144.14,3919.29,Credit,37
2336,04/08/2027,949,1016,Book R,6,132.71,1811.44,Credit,9
1181,22-01-2031,952,1050,Book K,13,35.45,3836.93,paypal,93
8693,12/28/2034,637,1072,Book O,0,112.15,1023.42,Credit Card,14
519,04-03-2034,39,1060,Book S,14,112.54,4848.96,Debit,22
7617,23-09-2034,290,1020,Book M,18,97.39,1332.42,Debit,28
1209,29-07-2031,232,1072,Book J,0,101.04,4081.4,Credit Card,76
2222,15-11-2034,466,1039,Book P,-2,105.58,2047.21,Credit Card,96
347,26-01-2036,672,1029,Book B,19,90.26,429.38,paypal,73
4221,18-11-2027,599,1045,Book A,13,39.05,894.82,Cash,40
6885,05/10/2034,750,1043,Book F,8,184.08,3454.51,Credit Card,98
1112,10/01/2024,44,1014,Book L,-1,80.19,3364.15,debit card,75
6221,15-07-2032,557,1049,Book O,11,162.97,59.74,Debit,98
1570,05/08/2035,26,1004,Book A,-2,88.31,1761.28,Credit Card,23
8948,12-04-2025,70,1029,Book M,13,82.82,736.97,Debit,56
1693,15-02-2036,836,1090,Book G,7,103.44,168.02,Debit,42
7826,03/29/2023,214,1045,Boo E,11,56.63,266.55,paypal,88
3280,08/15/2034,95,1094,Boo E,3,6.97,540.98,Credit,11
5969,13-05-2035,328,1033,nan,14,116.5,1315.47,Cash,12
1884,07/29/2028,165,1073,nan,18,160.55,702.65,debit card,21
4681,19-10-2024,910,1087,Book I,1,63.2,4743.68,Debit,-3
5372,23-10-2035,348,1004,Book T,6,49.61,2760.14,Debit,43
1409,22-04-2029,711,1081,Book S,19,78.72,3140.18,nan,30
7896,03/11/2035,368,1088,Book S,9,154.03,109.35,Debit,-10
9267,07/04/2032,179,1022,Book B,-4,197.34,4269.61,paypal,-7
40,06/19/2027,459,1067,Book I,5,118.94,856.33,Debit,-4
795,09-08-2024,612,1090,Book M,14,191.6,3942.78,Credit Card,45
9486,01/01/2029,483,1021,nan,-1,143.53,996.22,Credit,40
3853,08-09-2024,579,1061,Book P,17,114.94,920.18,nan,56
5290,03/28/2034,908,1073,nan,-2,132.72,1721.45,Credit,80
759,21-03-2026,39,1027,Boo E,-1,197.32,2391.58,Cash,97
322,19-07-2034,59,1072,Bok N,3,72.07,2385.1,debit card,70
3054,28-08-2032,940,1001,Bookk H,11,130.93,4766.69,Cash,23
1225,16-08-2031,364,1033,Book R,15,53.55,2980.51,Debit,-10
4804,08/21/2030,602,1041,Boo E,8,36.89,1027.45,nan,84
1982,06-11-2027,890,1038,Book T,-2,189.57,2652.19,Credit Card,99
5886,24-06-2023,659,1056,Bookk H,0,7.56,4247.39,debit card,69
260,16-04-2032,170,1052,Book F,1,151.21,4188.97,Credit,27
7382,06/26/2023,349,1095,Book M,9,94.74,435.9,debit card,28
1419,24-02-2028,133,1007,Book D,11,170.78,3084.37,Credit Card,49
2997,10-12-2025,566,1006,Book R,3,25.84,2028.97,Credit,45
6022,09-07-2034,561,1036,Book T,3,122.81,4760.55,Cash,40
6943,04/27/2024,686,1009,Book K,9,105.48,4272.99,Credit Card,29
624,22-03-2034,992,1000,Book S,-4,167.51,3712.72,nan,-8
3486,04/10/2024,51,1013,Book A,2,157.41,4690.9,debit card,28
4430,01/04/2023,118,1080,Boo E,2,102.51,4729.41,paypal,36
8004,01-06-2025,78,1022,Book F,0,124.64,4232.98,nan,96
1077,08/10/2034,891,1063,Book M,-1,114.45,3408.91,Cash,32
1069,16-03-2034,663,1017,Book K,7,82.52,2292.34,Credit,-8
8328,01-03-2033,112,1043,Book J,14,116.15,2077.19,Credit Card,95
4884,10-04-2030,575,1015,Book K,16,50.93,2751.75,Debit,75
1176,19-02-2036,250,1060,Book I,3,27.73,4069.73,Debit,86
296,03/31/2027,494,1099,Book G,9,15.43,3108.77,Credit,67
5837,10/28/2032,161,1001,Book R,13,197.08,2274.07,nan,19
6262,30-12-2031,443,1081,Book M,-1,63.48,2800.73,Credit Card,82
5200,08/10/2029,784,1017,Book O,13,10.92,3834.19,Cash,0
5126,05/20/2029,130,1073,Book I,2,168.53,4653.42,Debit,24
5029,08/18/2031,995,1043,Book G,-4,39.77,643.02,Credit Card,63
3150,06-05-2028,778,1098,Book I,-4,189.07,1891.59,nan,63
3525,16-08-2023,833,1011,Boo E,18,162.5,4015.29,paypal,29
4788,05-11-2033,337,1026,Book F,10,85.77,3022.03,Debit,61
9660,09/13/2025,474,1067,nan,13,127.3,3109.09,Credit,75
3383,05/04/2035,496,1004,Bok N,-1,177.53,271.83,debit card,5
4149,09/25/2023,841,1085,nan,3,164.27,2787.51,Credit,-5
8764,21-04-2030,377,1080,nan,3,41.88,1797.26,debit card,-7
4697,08/05/2026,458,1018,Book T,6,16.18,190.86,Credit,48
5984,09/04/2036,450,1086,Boo E,2,187.95,721.21,Credit Card,93
1579,07/10/2032,35,1027,Book M,19,155.35,3952.22,paypal,-3
2179,30-06-2023,841,1042,Book B,0,147.64,3073.56,nan,79
9501,12/26/2028,234,1023,Bookk H,15,126.16,2482.79,paypal,41
7616,16-12-2025,342,1036,Bookk H,12,138.51,367.8,Debit,52
1863,03-07-2029,805,1047,Book M,10,25.32,4729.59,debit card,8
6647,02/05/2031,258,1077,Book F,6,10.5,3739.45,Credit,52
8864,03/14/2035,145,1068,Book K,18,22.2,4894.72,Credit Card,54
1965,06/26/2034,566,1058,nan,18,115.09,1942.48,nan,73
5065,06-09-2029,669,1090,Book A,-3,124.95,2610.89,Cash,28
5501,11/24/2031,307,1096,Book G,0,78.38,1599.08,Cash,73
8035,01-05-2034,212,1074,Book J,7,134.76,2155.12,Debit,30
2329,21-04-2029,160,1082,Book D,-4,124.07,2501.3,Credit,82
8290,11/21/2028,717,1092,Book P,13,13.63,3555.46,Credit,66
4634,24-02-2032,893,1047,Book S,8,146.06,3765.0,Debit,89
3258,23-11-2030,371,1067,Bok N,9,154.56,3997.42,debit card,51
5869,05-06-2034,813,1028,nan,11,48.55,2793.96,debit card,87
4668,14-02-2031,380,1024,Book B,19,139.99,2501.96,Credit Card,45
120,23-02-2034,420,1063,Book P,8,58.3,4379.9,paypal,-8
5795,04-09-2029,597,1033,Book K,14,181.83,1074.33,Credit Card,5
7783,12/12/2023,785,1006,Book S,14,56.42,3657.53,paypal,13
5748,04/24/2032,461,1073,nan,-3,87.23,4019.24,nan,15
8776,08-01-2032,476,1077,Book T,7,141.38,3556.92,Cash,36
6364,08/31/2036,666,1046,Book I,1,55.56,3306.31,nan,39
5071,03/21/2023,16,1088,Book L,18,169.65,427.12,Credit,28
488,16-09-2024,470,1050,Book J,-4,63.15,1310.51,nan,89
6609,03/14/2034,92,1010,nan,18,188.19,1228.73,Cash,78
5560,01-12-2035,643,1028,Book G,-1,175.07,1831.07,Debit,86
8963,07/04/2027,213,1057,Book S,11,86.59,4002.27,Credit Card,-3
6224,24-05-2032,154,1032,Book D,11,88.6,2694.88,nan,60
9183,09/14/2024,721,1067,Book L,14,96.17,4185.06,Cash,82
7335,05/23/2032,260,1053,Book F,1,13.74,282.35,Cash,15
674,12/20/2025,940,1089,Book B,10,106.02,3789.53,Credit Card,29
2134,11/13/2029,359,1029,Book G,13,63.5,4087.9,nan,95
3282,25-07-2030,729,1084,Book O,11,16.28,2571.93,Debit,99
583,09/30/2029,521,1030,nan,11,121.24,535.77,debit card,41
7938,09/01/2034,663,1091,Book K,1,170.97,2958.65,debit card,33
1403,05-05-2026,860,1090,Book I,12,46.79,716.74,nan,-4
2961,10/31/2032,475,1003,Book D,19,157.76,539.03,paypal,97
9852,22-07-2027,393,1031,Book L,12,149.82,3080.62,debit card,72
8427,08/24/2028,884,1078,Bok N,18,189.96,2828.02,Debit,71
2276,06-06-2034,170,1030,Book R,0,35.83,3517.11,Debit,39
312,08/09/2031,849,1012,Book O,16,50.66,3411.47,Cash,33
1157,23-02-2035,114,1059,nan,19,135.87,2124.43,debit card,53
9121,14-04-2032,459,1028,Book F,1,181.47,2771.52,Cash,78
4230,11-09-2028,950,1001,Book O,1,71.28,2640.9,Cash,60
6244,11/15/2031,871,1004,Boo E,-3,119.0,4172.28,Debit,44
3354,01/10/2025,866,1017,Book M,3,189.19,694.02,paypal,98
107,06-02-2028,746,1050,Book K,8,197.15,4527.34,Cash,20
3870,03/27/2034,624,1093,Book J,16,52.41,1716.92,nan,32
3275,09/26/2026,134,1064,Book D,1,166.36,2733.92,debit card,-4
1278,25-04-2034,884,1056,Book D,5,43.65,301.42,Cash,30
6302,02/26/2031,822,1084,Boo E,-4,166.38,2932.85,debit card,99
3466,05-12-2026,161,1091,Book J,-5,183.42,1712.39,paypal,55
2424,05/08/2029,278,1043,Book T,14,114.82,814.07,Cash,15
374,26-01-2026,186,1091,Bookk H,18,32.31,861.08,debit card,82
4181,01/29/2027,42,1067,Bok N,-4,188.96,875.49,Credit Card,75
3024,01/24/2034,791,1087,Book S,5,121.25,1387.11,nan,79
4773,03/28/2024,470,1026,Book O,16,129.4,1087.56,nan,48
9795,22-09-2034,336,1018,Book P,7,135.3,4813.41,Debit,-8
4554,08/09/2033,520,1062,Book R,17,171.6,1937.9,paypal,75
8989,06-06-2030,914,1036,Book J,5,170.89,1617.6,Cash,18
3152,04-09-2034,689,1052,nan,5,17.54,554.9,paypal,52
5803,14-03-2036,99,1014,Book S,11,190.55,4114.78,debit card,1
9530,17-02-2024,129,1018,Bookk H,3,59.49,1954.37,Debit,24
8711,09/28/2030,236,1087,nan,8,89.37,646.89,debit card,31
6228,26-01-2023,91,1007,Book A,4,39.0,4280.06,paypal,91
3662,09-01-2027,621,1075,Bok N,-3,115.78,1665.67,debit card,89
7842,05/25/2024,38,1045,Book J,11,46.45,3270.85,debit card,64
7614,03/30/2030,390,1038,Book F,-4,149.89,4201.45,Credit Card,82
2110,16-07-2029,475,1030,nan,14,130.54,582.81,debit card,32
3943,07-11-2034,479,1008,Book M,19,104.69,2719.5,Credit,41
30,07/14/2033,337,1014,nan,4,104.82,241.39,Cash,27
5066,01-07-2031,116,1017,Book S,4,135.14,2380.89,nan,95
1348,12-12-2024,680,1082,Book S,15,52.91,4604.05,debit card,96
2575,13-04-2023,234,1063,Bookk H,7,65.52,3097.21,Cash,-1
8404,12-01-2029,941,1025,Book K,8,83.15,253.76,Credit,-3
7815,05/26/2027,743,1022,Book T,19,111.31,3782.58,Credit,65
7536,09/29/2034,241,1071,nan,16,162.59,896.4,Cash,0
2407,05/25/2031,848,1025,Book L,6,87.0,410.87,Cash,76
8973,09/19/2033,112,1090,Book O,-2,133.47,261.35,Cash,76
2317,01-09-2035,608,1086,Book L,4,195.46,2882.06,nan,27
3786,25-01-2028,62,1075,Boo E,3,80.53,1246.73,paypal,17
8100,11/12/2032,780,1057,Book J,13,26.32,343.26,Credit Card,70
6366,11-02-2035,298,1076,Boo E,-5,172.29,2562.09,paypal,-3
6329,07/03/2034,175,1055,Boo E,2,51.32,1649.26,Credit Card,-1
734,05/11/2034,588,1005,Book B,17,88.04,2069.7,debit card,42
1124,24-01-2031,31,1059,Book O,16,7.21,3471.92,Debit,7
8749,29-06-2024,407,1008,nan,9,46.79,173.71,paypal,48
2927,07/17/2023,889,1024,Book F,12,86.77,1884.73,debit card,81
6351,11/23/2030,669,1055,Book T,10,61.72,3732.86,Credit,50
9974,10-07-2030,694,1024,Book R,-5,100.31,1629.68,debit card,28
4061,19-04-2029,294,1062,Book J,-5,36.2,1023.52,paypal,-6
3648,10/05/2026,99,1075,nan,11,65.64,1009.58,Credit Card,59
3468,23-01-2030,888,1007,Book T,-2,85.99,629.31,Debit,70
2738,28-12-2034,763,1075,Book M,-4,45.25,1910.7,Debit,50
9099,30-12-2028,106,1011,Boo E,0,86.55,1017.05,Cash,43
9264,28-10-2024,447,1080,Book I,2,36.63,1719.45,Debit,44
9257,08/08/2024,565,1058,Book O,8,85.29,2227.62,debit card,89
2555,02-07-2026,976,1030,Book A,17,157.53,3877.23,Debit,34
5717,06/12/2029,912,1015,Book S,-4,16.74,4036.34,Credit Card,79
933,03/01/2036,218,1024,Book J,2,188.87,1601.79,Credit Card,87
5145,03-06-2025,520,1059,Book P,-2,141.99,4121.57,nan,52
1502,22-05-2032,514,1061,Book K,7,58.54,1285.76,Credit,28
1184,05/21/2024,896,1076,Book B,0,181.8,692.4,Debit,-7
8088,06/26/2025,906,1022,Book D,6,193.93,952.62,Credit,38
1865,07/24/2024,958,1000,Boo E,8,60.26,1020.18,Credit,30
5245,05/06/2030,764,1080,Book R,-2,128.21,2417.57,paypal,-7
622,17-10-2024,640,1069,Book S,9,110.98,1551.77,Credit Card,-6
1356,02/07/2036,888,1071,Book L,2,125.08,3885.31,Cash,26
3316,04/01/2031,294,1001,Book A,-3,65.58,4266.2,Credit,0
5035,08/16/2023,555,1006,Book I,11,171.89,1043.22,nan,59
4510,12/31/2026,579,1068,Book M,0,110.58,4651.02,nan,65
1200,08/04/2029,296,1022,Bok N,7,19.51,2532.34,Cash,88
8058,11/07/2028,79,1046,Book P,17,101.39,1599.89,Credit,74
6960,01/24/2030,106,1092,Bok N,3,191.0,2117.32,Credit Card,8
4418,06/24/2034,581,1047,Book M,3,21.22,183.29,debit card,14
8192,24-09-2024,898,1004,Book O,17,92.48,4805.95,Cash,92
294,17-11-2028,688,1029,Book I,18,103.43,3778.77,Cash,83
9024,19-04-2031,640,1058,Bookk H,11,84.44,4616.23,Debit,44
9927,12/26/2030,309,1080,Book F,12,135.46,4460.55,Credit,4
8400,11-09-2024,778,1073,nan,13,134.14,2308.99,Credit Card,33
319,12/04/2029,965,1019,Book O,17,46.08,4585.63,paypal,19
1600,12-05-2034,133,1069,Book S,-5,149.62,3873.81,Credit Card,-2
1795,04/22/2023,171,1031,Book G,14,51.42,3659.62,debit card,83
3013,05-05-2033,874,1057,Boo E,-4,139.83,635.83,paypal,49
8673,16-11-2033,819,1051,Bok N,1,51.68,3315.77,Credit,-6
564,05/03/2036,624,1046,Book T,11,14.07,925.6,Credit,80
4540,07/17/2027,66,1058,Book B,1,79.57,3321.02,paypal,21
5992,09/22/2033,406,1041,Book P,11,124.95,2660.95,Debit,1
6065,09/23/2025,620,1086,Book B,5,118.83,1761.45,nan,18
762,21-02-2031,173,1017,Book G,8,172.52,387.59,Cash,82
15,13-12-2033,282,1030,Book P,14,59.18,2539.05,debit card,62
5397,03/24/2026,785,1070,Book K,10,66.94,1331.76,Cash,22
6210,27-01-2032,175,1027,Boo E,15,112.68,503.53,Credit,35
8330,20-10-2026,138,1082,Book I,-3,43.83,4315.94,nan,37
5099,01/14/2032,618,1009,Boo E,17,101.56,585.65,nan,52
1738,11/16/2032,61,1097,Book D,1,69.99,4623.15,debit card,7
8263,25-06-2031,884,1075,Bookk H,8,174.83,3548.05,Cash,39
4848,01/17/2026,640,1066,Bookk H,-2,159.29,36.88,nan,82
4882,04-07-2035,75,1064,Book A,8,116.06,4535.04,Cash,51
7719,04/29/2027,999,1051,Boo E,11,170.42,61.25,Debit,18
6837,02/10/2033,892,1004,Book K,7,7.8,475.44,paypal,69
8215,10-12-2027,448,1017,Boo E,14,64.1,436.21,Credit Card,20
1902,11/30/2034,80,1015,Book B,13,185.43,3933.44,debit card,63
1748,14-01-2033,709,1030,Book A,2,136.2,1996.72,Debit,28
2914,03-06-2032,603,1067,Book B,13,192.54,198.24,nan,27
5478,08-01-2035,609,1039,Book B,14,39.39,805.43,Debit,-10
8047,19-06-2034,705,1034,nan,0,189.39,3457.38,debit card,16
7568,08/17/2035,579,1076,Book G,14,6.44,2092.31,Cash,8
8014,01-04-2024,865,1094,Bookk H,-1,142.31,3441.37,Credit Card,10
7317,20-01-2035,891,1006,Book G,6,18.95,3178.21,paypal,18
8784,26-01-2024,693,1093,Book G,5,72.43,4131.25,Credit Card,50
511,27-04-2032,121,1056,Book F,5,18.8,347.87,Debit,31
93,08/09/2034,433,1041,Book R,4,67.91,1246.69,nan,65
8293,14-05-2036,760,1010,Book F,11,80.8,4516.99,debit card,54
8707,03/24/2029,25,1022,Book S,11,184.04,646.79,Debit,54
4166,05/01/2036,764,1032,Book B,12,58.71,1781.75,paypal,89
3458,08-09-2025,496,1088,Book I,13,140.49,1604.29,Credit,67
4113,22-03-2027,70,1074,Book J,8,146.43,2145.92,Credit,46
